x;y;ap1 range (m);ap2 range (m);ap3 range (m);ap4 range (m);ap5 range (m);ap1 std (m);ap2 std (m);ap3 std (m);ap4 std (m);ap5 std (m)
0.7;0.5;103.0636039;395.6024137;650.8606823;1278.357191;1497.210763;28.5584396;38.66654567;19.12652218;62.96060307;22.17638995
0.7;1.5;188.6024064;488.6453201;686.0978542;1257.196396;1240.626866;23.92276785;70.33622003;15.88212971;10.82527713;28.72366949
0.7;2.5;251.0167618;770.2956958;652.7801586;1067.103262;1366.761328;18.49579073;90.58406094;16.67724108;21.18104289;28.76478926
0.7;3.5;313.3824605;597.8994634;628.4747475;1237.646521;1225.274477;19.66008612;77.8508148;18.47999975;20.03879134;23.70920131
0.7;4.5;328.9531316;591.9873882;514.2891346;1083.20084;1401.351044;20.88405698;70.00640398;23.71865085;24.15682334;32.67461276
0.7;5.5;620.8343358;1488.805171;552.0354389;964.2249826;1197.130904;19.43765542;145.6796122;22.6203281;21.19697794;21.49688197
0.7;6.5;424.2165218;2348.213369;533.3824063;910.0765226;1010.177123;22.75535968;514.9403195;17.7906709;17.46965664;23.18875894
0.7;7.5;647.0874056;1334.341604;437.5596955;1123.960854;984.9163012;20.37388654;149.6975207;21.40540049;28.75408876;26.92035477
0.7;8.5;681.4441122;3313.345131;566.8924292;820.2435071;856.5303819;17.52201088;475.0110643;16.87091847;23.79097253;29.8083101
0.7;9.5;890.7873206;1669.012982;520.3228346;787.5714839;813.457013;20.33886367;241.333596;22.47984338;21.90566983;18.38988321
0.7;10.5;697.0853015;5017.136603;506.0154876;819.2668079;703.9210842;21.40812019;747.3886245;18.33037822;17.2033495;22.63774763
0.7;11.5;762.905613;5492.522286;426.835682;755.1594212;711.6912008;22.33516463;897.4935024;23.03226565;26.56060774;20.57500793
0.7;12.5;842.7132677;6910.201855;381.3345184;699.6587767;676.4958166;18.78582811;623.9161823;16.27081838;15.82843025;22.29913334
0.7;13.5;874.591399;9372.319029;500.0874621;663.6291592;735.0128909;13.80018348;1019.498986;19.19367195;18.94041049;80.55896413
0.7;14.5;1083.518079;5791.995209;735.1031421;597.8521116;520.1907036;16.87633155;740.6732281;16.75196217;20.13378323;27.11864554
0.7;15.5;1009.740023;10743.28135;1225.795735;465.6232274;456.76754;18.01312438;2106.715797;30.42636639;20.61583391;22.19208389
0.7;16.5;1070.828817;12287.39147;874.6296595;559.9808117;470.1285678;27.62009215;1052.493984;15.4949454;19.45772651;17.06043055
0.7;17.5;1231.769235;13736.17828;815.0987199;478.3144125;244.4929591;22.2441288;1831.159389;18.6225056;18.13953877;18.29937562
0.7;18.5;1146.129032;16305.93032;796.3396274;434.2803877;207.4914783;12.34065498;2209.70417;17.25697848;21.19924799;22.57588688
1.7;0.5;201.8147077;185.0692567;726.1720969;1244.604296;1301.716268;24.57504375;25.19057581;14.61975816;30.88164301;22.06399387
1.7;1.5;284.3634929;275.3471723;611.5476551;1229.636757;1314.136314;18.38712441;35.39634954;25.96842931;24.92205138;20.31331387
1.7;2.5;291.8380968;425.9687492;757.7637635;1116.313899;1099.282576;25.77338463;52.38513467;88.75894263;15.97416332;26.48916147
1.7;3.5;430.6380818;345.9791537;497.85002;1219.29941;1177.250674;20.03198889;63.44933317;18.90594723;22.78204587;30.14846995
