x;y;ap1_range;ap2_range;ap3_range;ap4_range;ap5_range;ap1_range_sq;ap2_range_sq;ap3_range_sq;ap4_range_sq;ap5_range_sq
0.7;0.5;103.0636039;395.6024137;650.8606823;1278.357191;1497.210763;10622.10645;156501.2697;423619.6278;1634197.108;2241640.069
0.7;1.5;188.6024064;488.6453201;686.0978542;1257.196396;1240.626866;35570.8677;238774.2489;470730.2655;1580542.778;1539155.021
0.7;2.5;251.0167618;770.2956958;652.7801586;1067.103262;1366.761328;63009.4147;593355.459;426121.9355;1138709.372;1868036.528
0.7;3.5;313.3824605;597.8994634;628.4747475;1237.646521;1225.274477;98208.56655;357483.7683;394980.5082;1531768.911;1501297.544
0.7;4.5;328.9531316;591.9873882;514.2891346;1083.20084;1401.351044;108210.1628;350449.0678;264493.314;1173324.06;1963784.749
0.7;5.5;620.8343358;1488.805171;552.0354389;964.2249826;1197.130904;385435.2725;2216540.837;304743.1258;929729.8171;1433122.401
0.7;6.5;424.2165218;2348.213369;533.3824063;910.0765226;1010.177123;179959.6574;5514106.026;284496.7914;828239.277;1020457.82
0.7;7.5;647.0874056;1334.341604;437.5596955;1123.960854;984.9163012;418722.1105;1780467.516;191458.4871;1263288.001;970060.1204
0.7;8.5;681.4441122;3313.345131;566.8924292;820.2435071;856.5303819;464366.0781;10978255.96;321367.0263;672799.4109;733644.2951
0.7;9.5;890.7873206;1669.012982;520.3228346;787.5714839;813.457013;793502.0505;2785604.334;270735.8522;620268.8423;661712.312
0.7;10.5;697.0853015;5017.136603;506.0154876;819.2668079;703.9210842;485927.9176;25171659.69;256051.6737;671198.1025;495504.8928
0.7;11.5;762.905613;5492.522286;426.835682;755.1594212;711.6912008;582024.9743;30167801.06;182188.6994;570265.7514;506504.3653
0.7;12.5;842.7132677;6910.201855;381.3345184;699.6587767;676.4958166;710165.6516;47750889.68;145416.0149;489522.4038;457646.5899
0.7;13.5;874.591399;9372.319029;500.0874621;663.6291592;735.0128909;764910.1152;87840363.98;250087.4697;440403.6609;540243.9498
0.7;14.5;1083.518079;5791.995209;735.1031421;597.8521116;520.1907036;1174011.428;33547208.5;540376.6295;357427.1473;270598.3681
0.7;15.5;1009.740023;10743.28135;1225.795735;465.6232274;456.76754;1019574.914;115418094.2;1502575.184;216804.9899;208636.5856
0.7;16.5;1070.828817;12287.39147;874.6296595;559.9808117;470.1285678;1146674.355;150979989.1;764977.0413;313578.5095;221020.8703
0.7;17.5;1231.769235;13736.17828;815.0987199;478.3144125;244.4929591;1517255.448;188682593.7;664385.9232;228784.6772;59776.80705
0.7;18.5;1146.129032;16305.93032;796.3396274;434.2803877;207.4914783;1313611.758;265883363.6;634156.8022;188599.4551;43052.71357
1.7;0.5;201.8147077;185.0692567;726.1720969;1244.604296;1301.716268;40729.17624;34250.62978;527325.9143;1549039.854;1694465.242
1.7;1.5;284.3634929;275.3471723;611.5476551;1229.636757;1314.136314;80862.59609;75816.06529;373990.5345;1512006.554;1726954.252
1.7;2.5;291.8380968;425.9687492;757.7637635;1116.313899;1099.282576;85169.47474;181449.3753;574205.9213;1246156.721;1208422.182
1.7;3.5;430.6380818;345.9791537;497.85002;1219.29941;1177.250674;185449.1575;119701.5748;247854.6424;1486691.051;1385919.149
1.7;4.5;435.7082406;817.7569036;522.0312461;1105.890595;1080.419378;189841.6709;668726.3534;272516.6219;1222994.008;1167306.032
1.7;5.5;474.0671941;1004.761802;408.0714839;1045.316085;1114.784253;224739.7045;1009546.279;166522.336;1092685.718;1242743.931
1.7;6.5;586.9743879;1880.217798;449.8433116;1043.476442;1065.244989;344538.9321;3535218.968;202359.005;1088843.085;1134746.887
1.7;7.5;520.2991464;1415.0143;480.6609306;918.7133717;846.3566434;270711.2017;2002265.469;231034.9302;844034.2593;716319.5678
1.7;8.5;686.0558277;1849.272806;353.7456398;859.3652917;987.5374289;470672.5987;3419809.911;125135.9777;738508.7046;975230.1735
1.7;9.5;789.2230033;2932.366036;307.433396;786.612296;770.7906306;622872.9489;8598770.569;94515.29298;618758.9042;594118.1962
